"SOURCE_FILE","ROUTE_BOOK","ZONE","DAY_OF_WEEK","WEEKS_OF_MONTH","STEP_NUMBER","STREET_NAME","SIDE","FROM_STREET","TO_STREET","TIME_START","TIME_END","FROM_CNN","TO_CNN"
"RT.133   HOLIDAY 1.pdf","HOLIDAY - 1 RT #33","\N","\N","\N",1,"Mission St","Right","Duboce Ave","The Embarcadero","2:00:00 AM","6:00:00 AM",33027000,24550000
"BIZ 12.pdf","MISSION, NIGHT RT #23","\N","Tuesday","2nd, 4th",2,"Brazil Avenue","Right","East End","La Grande Avenue","7:00 AM","8:00 AM",\\N,21607000
"RT.127   BEACH.pdf","BEACH ROUTE RT #27","\N","Thursday","\N",1,"Great Hwy","Right","Lincoln Way","Point Lobos Ave","5:00:00 AM","7:00:00 AM",27942000,33559000
"BIZ 8.pdf","PARKSIDE RT #8","F","Tuesday","\N",6,"22nd Ave","Right","Santiago St","Taraval St","7:00 AM","8:00 AM",23201000,23199000
"RT.115   HAIGHT.pdf","HAIGHT/ANZA RT #15","\N","Wednesday","\N",8,"Anza Street","Right","Arguello Boulevard","Parker Avenue","8:00 AM","10:00 AM",27225000,26488000
"RT.104   TENDERLOIN.pdf","TENDERLOIN RT #4","\N","Thursday","\N",1,"Fern Street","Right","Franklin Street","Gough Street","2:00 AM","6:00 AM",26497000,26503000
"RT.115   HAIGHT.pdf","HAIGHT/ANZA RT #15","\N","Friday","\N",5,"Baker St","Right","Fell St","Haight St","12:00 PM","2:00 PM",26350000,26033000
"RT.123   NITE MISSION.pdf","MISSION, NIGHT RT #23","\N","Monday","\N",4,"Mission Street","Right","Plum Street","Shaw Alley","2:00 AM","6:00 AM",24359000,24602000
"RT.123   NITE MISSION.pdf","MISSION, NIGHT RT #23","\N","Tuesday","\N",3,"16th St","Right","Potrero Ave","Mission St","2:00 AM","6:00 AM",24022000,24170000
"BIZ 13.pdf","NOE VALLEY RT #13","D","Monday","1st, 3rd, 5th",12,"Valencia Street","Right","24th Street","Mission Street","6:00 AM","8:00 AM",24101000,21338000
"RT.148  MT. DAVIDSON.pdf","MT. DAVIDSON/FOREST HILLS NON CONTROLLED RT #48","\N","TUESDAY","\N",8,"Del Vale Ave","R","Evelyn Way","Encline Ct","9:00:00 AM","3:00:00 PM",22404000,22331000
"RT.102   PACIFIC HEIGHTS.pdf","PACIFIC HTS./JORDAN PARK RT #2","\N","Tuesday","\N",1,"Sutter St","Right","Presidio Ave","Broderick St","8:00 AM","10:00 AM",26839000,26809000
"RT.109   MISSION.pdf","MISSION RT #9","\N","Thursday","\N",1,"Treat Ave","Right","26th St","20th St","12:00 PM","2:00 PM",23981000,24036000
"RT.124   SOMA.pdf","NIGHT ROUTES, VARIOUS RT #24","\N","Friday","\N",3,"Clementina St","both","Sumner St","08th St","4:00:00 AM","6:00:00 AM",24277000,24273000
"BIZ 1.pdf","RICHMOND RT #1","C","Tuesday","\N",1,"30th Ave","Right","Geary Blvd","Clement St","7:00:00 AM","8:00:00 AM",27840000,27843000
"RT.121   INDUSTRIAL.pdf","INDUSTRIAL RT #21","\N","Wednesday","\N",10,"Toland St","Right","Napoleon St","Oakdale Ave","00:00:00","06:00:00",20725000,20803000
"RT.123   NITE MISSION.pdf","MISSION, NIGHT RT #23","\N","Wednesday","\N",5,"Excelsior Avenue","Right","Mission Street","London Street","5:00 AM","7:00 AM",21768000,21760000
"RT.114   EUREKA VALLEY.pdf","EUREKA RT #14","\N","Tuesday","\N",3,"Museum Way","Right","E/end","Roosevelt Way","10:00:00 AM","12:00:00 PM",\\N,26313000
"RT.102   PACIFIC HEIGHTS.pdf","PACIFIC HTS./JORDAN PARK RT #2","\N","Thursday","\N",3,"7th Ave","Right","California St","Geary Blvd","7:00 AM","9:00 AM",27656000,27249000
"RT.112   LAKEVIEW.pdf","RT #12","\N","Friday","\N",6,"Sadowa St","Right","San Jose Ave","Orizaba Ave","13:00","15:00",21597000,22491000
"RT.130  NORTH BEACH.pdf","NORTH BEACH RT #130","\N","Friday","2nd, 4th",1,"Telegraph Hill Blvd","Right","\N","COIT TOWER PARKING LOT","8:00 AM","10:00 AM",\\N,\\N
"RT.127W.pdf","BEACH ROUTE RT #27","\N","Saturday","\N",4,"Lake Merced Blvd","Right","Font Blvd","Herbst Rd","4:00 AM","6:00 AM",33541000,\\N
"RT.147  BERNAL Uncontrolled.pdf","BERNAL HEIGHTS ""NON CONTROLLED"" RT #47","\N","Wednesday","\N",13,"Aztec St","Right","Coso Ave","E/End","8:00:00 AM","3:00:00 PM",21280000,\\N
"RT.124W.pdf","NIGHT ROUTES, VARIOUS RT #24","B","Saturday","\N",12,"3rd Street","Right","King Street","Key Avenue","2:00 AM","6:00 AM",\\N,\\N
"BIZ 2.pdf","PACIFIC HTS./JORDAN PARK RT #2","C","Monday","2nd, 4th",1,"Clay Street","Right","Webster Street","California Street","6:00 AM","8:00 AM",26646000,\\N
"RT.127WKND.pdf","BEACH ROUTE RT #27","\N","Sunday","\N",6,"Hunters Point Expy","Right","Donahue St","Jamestown Ave","7:00 AM","8:30 AM",\\N,\\N
