SOURCE_FILE,ROUTE_BOOK,ZONE,DAY_OF_WEEK,STEP_NUMBER,STREET_NAME,SIDE,FROM_STREET,TO_STREET,SEGMENT_CNN,LNG,LAT,GEOJSON
BIZ 1.pdf,RICHMOND RT #1,C,Friday,1,Fulton St,Right,38th Ave,36th Ave,5942000,-122.495437658,37.772056406,"{""coordinates"":[[-1.224949032990123e+02,3.777208079511499e+01],[-1.224959720158958e+02,3.777203201446766e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,1,Fulton St,Right,38th Ave,36th Ave,5943000,-122.496509419,37.772007482,"{""coordinates"":[[-1.224959720158958e+02,3.777203201446766e+01],[-1.224970468219685e+02,3.777198294701114e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,1,Fulton St,Right,38th Ave,36th Ave,5944000,-122.497580339,37.771958586,"{""coordinates"":[[-1.224970468219685e+02,3.777198294701114e+01],[-1.224981138566128e+02,3.777193422316486e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,1,Fulton St,Right,38th Ave,36th Ave,5945000,-122.49864845,37.771909809,"{""coordinates"":[[-1.224981138566128e+02,3.777193422316486e+01],[-1.224991830421698e+02,3.777188539277603e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,2,Balboa St,Right,42nd Ave,32nd Ave,2676000,-122.491422954,37.775984436,"{""coordinates"":[[-1.224908864630590e+02,3.777600880912313e+01],[-1.224919594445869e+02,3.777596006055089e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,2,Balboa St,Right,42nd Ave,32nd Ave,2677000,-122.492501838,37.7759353,"{""coordinates"":[[-1.224919594445869e+02,3.777596006055089e+01],[-1.224930442318707e+02,3.777591053662226e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,2,Balboa St,Right,42nd Ave,32nd Ave,2678000,-122.493574106,37.775886343,"{""coordinates"":[[-1.224930442318707e+02,3.777591053662226e+01],[-1.224941039794280e+02,3.777586214723699e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,2,Balboa St,Right,42nd Ave,32nd Ave,2679000,-122.494639417,37.775837714,"{""coordinates"":[[-1.224941039794280e+02,3.777586214723699e+01],[-1.224951748537596e+02,3.777581327880202e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,2,Balboa St,Right,42nd Ave,32nd Ave,2680000,-122.495716809,37.775788543,"{""coordinates"":[[-1.224951748537596e+02,3.777581327880202e+01],[-1.224962587634863e+02,3.777576380496502e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,2,Balboa St,Right,42nd Ave,32nd Ave,2681000,-122.496788745,37.775739611,"{""coordinates"":[[-1.224962587634863e+02,3.777576380496502e+01],[-1.224973187267398e+02,3.777571541450322e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,2,Balboa St,Right,42nd Ave,32nd Ave,2682000,-122.49785215,37.775691059,"{""coordinates"":[[-1.224973187267398e+02,3.777571541450322e+01],[-1.224983855721696e+02,3.777566670045248e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,2,Balboa St,Right,42nd Ave,32nd Ave,2683000,-122.498920192,37.775642285,"{""coordinates"":[[-1.224983855721696e+02,3.777566670045248e+01],[-1.224994548112714e+02,3.777561786763154e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,2,Balboa St,Right,42nd Ave,32nd Ave,2684000,-122.499985007,37.775593494,"{""coordinates"":[[-1.224994548112714e+02,3.777561786763154e+01],[-1.225005152020150e+02,3.777556911846897e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,2,Balboa St,Right,42nd Ave,32nd Ave,2685000,-122.501056545,37.775544541,"{""coordinates"":[[-1.225005152020150e+02,3.777556911846897e+01],[-1.225015978882255e+02,3.777551996136108e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,2,Balboa St,Right,42nd Ave,32nd Ave,2686000,-122.502134429,37.775495266,"{""coordinates"":[[-1.225015978882255e+02,3.777551996136108e+01],[-1.225026709703381e+02,3.777547056811111e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,2,Balboa St,Right,42nd Ave,32nd Ave,2687000,-122.503207809,37.77544602,"{""coordinates"":[[-1.225026709703381e+02,3.777547056811111e+01],[-1.225037446473828e+02,3.777542146948841e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,3,32nd Ave,Right,Balboa St,Geary Blvd,1702000,-122.492303721,37.780711803,"{""coordinates"":[[-1.224923751567746e+02,3.778167665491532e+01],[-1.224922322874671e+02,3.777974695066946e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,3,32nd Ave,Right,Balboa St,Geary Blvd,1703000,-122.492163587,37.778784821,"{""coordinates"":[[-1.224922322874671e+02,3.777974695066946e+01],[-1.224920948878417e+02,3.777782269135057e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,3,32nd Ave,Right,Balboa St,Geary Blvd,1704000,-122.492027165,37.776891376,"{""coordinates"":[[-1.224920948878417e+02,3.777782269135057e+01],[-1.224919594445869e+02,3.777596006055089e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,3,32nd Ave,Right,Balboa St,Geary Blvd,1705000,-122.491891599,37.775027008,"{""coordinates"":[[-1.224919594445869e+02,3.777596006055089e+01],[-1.224918237548564e+02,3.777409395450291e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,4,Geary Blvd,Right,32nd Ave,30th Ave,6086101,-122.489549892,37.779810602,"{""coordinates"":[[-1.224890134926772e+02,3.777989057533934e+01],[-1.224891292990203e+02,3.777982166544321e+01],[-1.224899595091996e+02,3.777978330721596e+01],[-1.224900965788821e+02,3.777983983302559e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,4,Geary Blvd,Right,32nd Ave,30th Ave,6086201,-122.489557153,37.779927483,"{""coordinates"":[[-1.224890134926772e+02,3.777989057533934e+01],[-1.224891380514138e+02,3.777995745938323e+01],[-1.224899529239753e+02,3.777991936001138e+01],[-1.224900965788821e+02,3.777983983302559e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,4,Geary Blvd,Right,32nd Ave,30th Ave,6087101,-122.490633285,37.779761351,"{""coordinates"":[[-1.224900965788821e+02,3.777983983302559e+01],[-1.224902074352860e+02,3.777977709252233e+01],[-1.224910629909495e+02,3.777973018304782e+01],[-1.224911670447370e+02,3.777979538170754e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,4,Geary Blvd,Right,32nd Ave,30th Ave,6087201,-122.490640956,37.779884069,"{""coordinates"":[[-1.224900965788821e+02,3.777983983302559e+01],[-1.224902324421513e+02,3.777991082216941e+01],[-1.224910796888347e+02,3.777987598697070e+01],[-1.224911670447370e+02,3.777979538170754e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,4,Geary Blvd,Right,32nd Ave,30th Ave,6088101,-122.491692695,37.779713539,"{""coordinates"":[[-1.224911670447370e+02,3.777979538170754e+01],[-1.224912674022207e+02,3.777972267235688e+01],[-1.224921053879420e+02,3.777968822499142e+01],[-1.224922322874671e+02,3.777974695066946e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,4,Geary Blvd,Right,32nd Ave,30th Ave,6088201,-122.491706286,37.7798315,"{""coordinates"":[[-1.224911670447370e+02,3.777979538170754e+01],[-1.224912862746901e+02,3.777985423702848e+01],[-1.224921091415334e+02,3.777982816151765e+01],[-1.224922322874671e+02,3.777974695066946e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,4,Geary Blvd,Right,32nd Ave,30th Ave,6089101,-122.492758159,37.779663138,"{""coordinates"":[[-1.224922322874671e+02,3.777974695066946e+01],[-1.224923582089630e+02,3.777967380836763e+01],[-1.224931507602698e+02,3.777963455357337e+01],[-1.224932972577751e+02,3.777968836942764e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,4,Geary Blvd,Right,32nd Ave,30th Ave,6089201,-122.492770414,37.779782688,"{""coordinates"":[[-1.224922322874671e+02,3.777974695066946e+01],[-1.224923721879380e+02,3.777981357118513e+01],[-1.224931495987528e+02,3.777977667396885e+01],[-1.224932972577751e+02,3.777968836942764e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,5,30th Ave,Right,Geary Blvd,Balboa St,1641000,-122.490163828,37.780807626,"{""coordinates"":[[-1.224902310783853e+02,3.778177541922218e+01],[-1.224900965788821e+02,3.777983983302559e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,5,30th Ave,Right,Geary Blvd,Balboa St,1642000,-122.490023806,37.778881432,"{""coordinates"":[[-1.224900965788821e+02,3.777983983302559e+01],[-1.224899510353432e+02,3.777792303125040e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,5,30th Ave,Right,Geary Blvd,Balboa St,1643000,-122.489883236,37.776990299,"{""coordinates"":[[-1.224899510353432e+02,3.777792303125040e+01],[-1.224898154392457e+02,3.777605756713346e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,5,30th Ave,Right,Geary Blvd,Balboa St,1644000,-122.48974764,37.775124782,"{""coordinates"":[[-1.224898154392457e+02,3.777605756713346e+01],[-1.224896798425956e+02,3.777419199692229e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,6,Geary Blvd,Right,30th Ave,05th Ave,6060101,-122.462673869,37.781033374,"{""coordinates"":[[-1.224621392783172e+02,3.778111099567905e+01],[-1.224622823228125e+02,3.778103963242916e+01],[-1.224630851728378e+02,3.778100745370426e+01],[-1.224632106800458e+02,3.778107016458272e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,6,Geary Blvd,Right,30th Ave,05th Ave,6060201,-122.462677766,37.781152741,"{""coordinates"":[[-1.224621392783172e+02,3.778111099567905e+01],[-1.224622702180603e+02,3.778117988875647e+01],[-1.224630888180551e+02,3.778114535704375e+01],[-1.224632106800458e+02,3.778107016458272e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,6,Geary Blvd,Right,30th Ave,05th Ave,6061101,-122.463738126,37.780982736,"{""coordinates"":[[-1.224632106800458e+02,3.778107016458272e+01],[-1.224633297970163e+02,3.778099083782209e+01],[-1.224641325355391e+02,3.778095447302204e+01],[-1.224642791699862e+02,3.778101892163687e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,6,Geary Blvd,Right,30th Ave,05th Ave,6061201,-122.46374839,37.781109928,"{""coordinates"":[[-1.224632106800458e+02,3.778107016458272e+01],[-1.224633390416346e+02,3.778114119026317e+01],[-1.224641522074193e+02,3.778110047092437e+01],[-1.224642791699862e+02,3.778101892163687e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,6,Geary Blvd,Right,30th Ave,05th Ave,6062101,-122.464809368,37.780928508,"{""coordinates"":[[-1.224642791699862e+02,3.778101892163687e+01],[-1.224644060217377e+02,3.778093319326889e+01],[-1.224652326304189e+02,3.778090269395041e+01],[-1.224653528706248e+02,3.778096549037471e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,6,Geary Blvd,Right,30th Ave,05th Ave,6062201,-122.464824528,37.781055253,"{""coordinates"":[[-1.224642791699862e+02,3.778101892163687e+01],[-1.224644125800819e+02,3.778108150048162e+01],[-1.224652391351071e+02,3.778104891119673e+01],[-1.224653528706248e+02,3.778096549037471e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,6,Geary Blvd,Right,30th Ave,05th Ave,6063101,-122.465886706,37.780884558,"{""coordinates"":[[-1.224653528706248e+02,3.778096549037471e+01],[-1.224654721510461e+02,3.778089243031132e+01],[-1.224662933806984e+02,3.778085783243142e+01],[-1.224664269028519e+02,3.778092458793969e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,6,Geary Blvd,Right,30th Ave,05th Ave,6063201,-122.465889921,37.781007169,"{""coordinates"":[[-1.224653528706248e+02,3.778096549037471e+01],[-1.224654759665967e+02,3.778103660244238e+01],[-1.224662970871981e+02,3.778099782559607e+01],[-1.224664269028519e+02,3.778092458793969e+01]],""type"":""LineString""}"
BIZ 1.pdf,RICHMOND RT #1,C,Friday,6,Geary Blvd,Right,30th Ave,05th Ave,6064101,-122.466953581,37.780840741,"{""coordinates"":[[-1.224664269028519e+02,3.778092458793969e+01],[-1.224665434924487e+02,3.778084947900876e+01],[-1.224673593971625e+02,3.778081287256762e+01],[-1.224674876526987e+02,3.778087971477624e+01]],""type"":""LineString""}"
